name	value	family	file_offset
Ft_koya0_event	145	Ft_	0x80D484
F_sb01s001_niko_wake_up_end	146	F_	0x80D4A8
Fost_sb01s001_event_wake_up_end	147	Fost_	0x80D4CC
Ft_home0_001_event	148	Ft_	0x80D4F0
F_wata_mizu_medaru	149	F_	0x80D514
F_selfy_magic_trg	150	F_	0x80D538
F_gy_mon_sw	151	F_	0x80D55C
F_bookshelf_fall	152	F_	0x80D580
F_viv_engei_ok	153	F_	0x80D5A4
F_sakaba_close	154	F_	0x80D5C8
F_quest_no_virgin	155	F_	0x80D5EC
F_player_mizugi_old	156	F_	0x80D610
F_ie_huusya_no_sasoi_once	157	F_	0x80D634
F_ie_pool_no_sasoi_once	158	F_	0x80D658
Ft_home01_rees_once	159	Ft_	0x80D67C
F_tw_rain_del	160	F_	0x80D6A0
F_end_ending	161	F_	0x80D6C4
F_end_ending_step0	162	F_	0x80D6E8
F_t_attack_enable	163	F_	0x80D70C
F_minigame_tyu	164	F_	0x80D730
F_10kinko_talk	165	F_	0x80D754
F_30kinko_talk	166	F_	0x80D778
F_60kinko_talk	167	F_	0x80D79C
F_show970906_tmp	168	F_	0x80D7C0
F_show970906_tmp2	169	F_	0x80D7E4
F_guy_sword_pickup	170	F_	0x80D808
F_okami_talk_00	171	F_	0x80D82C
F_ultima_egg_pickup	172	F_	0x80D850
F_ie_otera_no_sasoi_once	173	F_	0x80D874
SHOW970906_VER	174	SHOW970906_	0x80D898
SB01_INIT_STEP	0	SB01_	0x80D8BC
SB01_OPEN_STEP	0	SB01_	0x80D8E0
SB01_NORM_STEP	1	SB01_	0x80D904
SB01_END_STEP	2	SB01_	0x80D928
FNO_func_sn_casino	3	FNO_	0x80D94C
FNO_start_mogura_func	100	FNO_	0x80D970
FNO_start_tako_func	101	FNO_	0x80D994
FNO_func_koya_tamago_pal_ld	102	FNO_	0x80D9B8
FNO_func_koya_mon_talk_pal_ld	103	FNO_	0x80D9DC
FNO_ext_plsel_hold_item_set	104	FNO_	0x80DA00
FNO_ext_plsel_kaesu_set	105	FNO_	0x80DA24
FNO_koya_mon_status_open	106	FNO_	0x80DA48
FNO_koya_mon_status_close	107	FNO_	0x80DA6C
FNO_koya_mon_namewin_open	108	FNO_	0x80DA90
FNO_koya_mon_namewin_closechk	109	FNO_	0x80DAB4
FNO_file_load_com	110	FNO_	0x80DAD8
FNO_mcard_func_set	111	FNO_	0x80DAFC
FNO_mcard_end_check	112	FNO_	0x80DB20
FNO_jyotyu_set_reserve_all	113	FNO_	0x80DB44
FNO_jyotyu_set_reserve_papa	114	FNO_	0x80DB68
FNO_jyotyu_set_reserve_nyul	115	FNO_	0x80DB8C
FNO_jyotyu_set_reserve_pool	116	FNO_	0x80DBB0
FNO_jyotyu_set_reserve_dngn	117	FNO_	0x80DBD4
FNO_plt_init_sleep_set	118	FNO_	0x80DBF8
FNO_get_item_chk	119	FNO_	0x80DC1C
FNO_mam_bita_give	120	FNO_	0x80DC40
FNO_reserve_twch_load	121	FNO_	0x80DC64
FNO_start_keima_func	122	FNO_	0x80DC88
FNO_start_keima2_func	123	FNO_	0x80DCAC
FNO_reserve_tw_mon_load	124	FNO_	0x80DCD0
FNO_sn_namewin_open	125	FNO_	0x80DCF4
FNO_sn_namewin_close_check	126	FNO_	0x80DD18
FNO_change_map_of	127	FNO_	0x80DD3C
FNO_func_sn_ball	128	FNO_	0x80DD60
FNO_tcame_chase_set	129	FNO_	0x80DD84
FNO_tcame_chase2_set	130	FNO_	0x80DDA8
FNO_tcame_lock	131	FNO_	0x80DDCC
FNO_tcame_return	132	FNO_	0x80DDF0
FNO_change_map	133	FNO_	0x80DE14
FNO_door_open_demo_set	134	FNO_	0x80DE38
FNO_set_item_w0	135	FNO_	0x80DE5C
FNO_tcame_chase_fix	136	FNO_	0x80DE80
FNO_tcame_chase_fix_reset	137	FNO_	0x80DEA4
FNO_baken_uriba	138	FNO_	0x80DEC8
FNO_set_user_name_win	139	FNO_	0x80DEEC
FNO_tw_sd_se_ld_call	140	FNO_	0x80DF10
FNO_tw_sd_sq_ld_call	141	FNO_	0x80DF34
FNO_town_sd_se_callagain	142	FNO_	0x80DF58
FNO_town_sd_sq_callagain	143	FNO_	0x80DF7C
FNO_player_now_ang_get	144	FNO_	0x80DFA0
FNO_player_now_pos_get	145	FNO_	0x80DFC4
FNO_anyone_org_ang_get	146	FNO_	0x80DFE8
FNO_anyone_org_pos_get	147	FNO_	0x80E00C
FNO_anyone_now_ang_get	148	FNO_	0x80E030
FNO_anyone_now_pos_get	149	FNO_	0x80E054
FNO_serch_item_kt	150	FNO_	0x80E078
FNO_del_t_item_w_ptr	151	FNO_	0x80E09C
FNO_mia_storker_set	152	FNO_	0x80E0C0
FNO_door_atari_on_off	153	FNO_	0x80E0E4
FNO_strcmp	154	FNO_	0x80E108
FNO_event_tori_in	155	FNO_	0x80E12C
FNO_event_pool_clean_in	156	FNO_	0x80E150
FNO_fukidasi_set	157	FNO_	0x80E174
FNO_pool_clut_store	158	FNO_	0x80E198
FNO_SD_Call	159	FNO_	0x80E1BC
FNO_zukan_func_set	160	FNO_	0x80E1E0
FNO_zukan_end_check	161	FNO_	0x80E204
FNO_p_came_set	162	FNO_	0x80E228
FNO_p_came_rotset	163	FNO_	0x80E24C
FNO_t_soukowin_open	164	FNO_	0x80E270
FNO_t_soukowin_close_check	165	FNO_	0x80E294
FNO_town_movie_exe	166	FNO_	0x80E2B8
FNO_nouse___168	167	FNO_	0x80E2DC
FNO_town_movie3_call	168	FNO_	0x80E300
FNO_nouse___170	169	FNO_	0x80E324
FNO_into_dn_door_jobs	170	FNO_	0x80E348
FNO_washed_dish_suu_set	171	FNO_	0x80E36C
FNO_washed_dish_suu_inc	172	FNO_	0x80E390
FNO_into_dn_door_demo_set	173	FNO_	0x80E3B4
FNO_obj_disp23_cancel_sw_set	174	FNO_	0x80E3D8
FNO_start_gym_func	175	FNO_	0x80E3FC
FNO_psn_lookable_get	176	FNO_	0x80E420
FNO_func_sn_casino_slot	177	FNO_	0x80E444
FNO_koya_into_exe	178	FNO_	0x80E468
FNO_town_map_mod_yorozu_item	179	FNO_	0x80E48C
FNO_get_player_homerank	180	FNO_	0x80E4B0
FNO_came_bright_set	181	FNO_	0x80E4D4
FNO_chg_map_second_house_sel	182	FNO_	0x80E4F8
FNO_set_item_equip_00	183	FNO_	0x80E51C
FNO_moin_zukan_flag_set	184	FNO_	0x80E540
FNO_kewn_namewin_open	185	FNO_	0x80E564
FNO_town_rain_in	186	FNO_	0x80E588
FNO_town_sdall_reserve	187	FNO_	0x80E5AC
FNO_town_se_reserve	188	FNO_	0x80E5D0
FNO_town_seq_reserve	189	FNO_	0x80E5F4
FNO_get_target_itemp	190	FNO_	0x80E618
FNO_sarch_koyaw_free	191	FNO_	0x80E63C
FNO_trget_psn_ang_set	192	FNO_	0x80E660
FNO_kewn_namewin_close_check	193	FNO_	0x80E684
FNO_town_sd_sq_callagain_sub	194	FNO_	0x80E6A8
FNO_tw_sd_sq_ld_call_sub	195	FNO_	0x80E6CC
FNO_town_map_mod_read_p	196	FNO_	0x80E6F0
FNO_tw_seq_end_chk	197	FNO_	0x80E714
FNO_sb01_over_push	198	FNO_	0x80E738
FNO_sb01_over_pull	199	FNO_	0x80E75C
