# row	cfg	pins	n_gp_externs	symbols
slus/code	2.7.2	0	8	D_80080B94,D_80080B98,D_800814C8,D_800814E0,D_80081540,D_80081550,D_80081554,D_80081558
slus/code2	2.8.1	0	4	D_80080B1B,D_80080B1C,D_800814D0,D_800814E0
slus/konami_runtime_w_80033D44	2.7.2	0	1	D_8008099C
slus/konami_runtime_w_80033D54	2.8.1	3	1	D_8008099C
slus/konami_runtime_w_80035484	2.7.2-cdk	0	1	D_80081440
slus/konami_runtime_w_80035888	2.7.2-cdk	0	2	D_800809B8,D_800809BC
slus/konami_runtime_w_80038A10	2.7.2-cdk	0	1	D_80081448
slus/konami_runtime_w_8003C634	2.7.2-cdk	0	1	D_80080A6C
slus/konami_runtime_w_8003C6F8	2.7.2-cdk	0	1	D_80081460
slus/konami_runtime_w_8003C758	2.7.2-cdk	0	1	D_80080A6C
slus/konami_runtime_w_8003C920	2.7.2-cdk	0	1	D_80080A6C
slus/w_8003CB08	2.7.2-cdk	0	4	D_80080AA4,D_80080AA6,D_80080AA8,D_80080AAA
slus/w_8003CCB0	2.7.2-cdk	9	4	D_80080AA4,D_80080AA8,D_80080AAC,D_80080AB0
slus/w_8003D92C	2.7.2	5	2	D_80080ABC,D_80080ABE
slus/w_8003E34C	2.7.2-cdk	0	4	D_80080AD0,D_80080AD4,D_80080ADC,D_800814D0
slus/w_8003E4FC	2.7.2-cdk	0	2	D_80080AD4,D_80080ADC
slus/w_8003E758	2.7.2-cdk -G32 -fno-expensive-optimizations	2	8	D_80080AD0,D_80080AD2,D_80080AD4,D_80080AD8,D_80081450,D_800814CC,D_800814D0,D_800814D4
slus/w_8003F2A4	2.6.3 -fno-schedule-insns	0	3	D_800814B0,D_800814B4,D_800814D0
slus/w_8003F368	2.7.2	1	2	D_80081450,D_800814D0
slus/w_8003F5AC	2.7.2-cdk	0	1	D_80080AD4
slus/w_8003F624	2.7.2	0	1	D_800814D4
slus/w_80041134	2.8.1	0	1	D_800814E0
slus/w_80041AE4	2.8.1 -G16	0	1	D_800814E8
slus/w_80041B98	2.7.2-cdk	0	1	D_800814E8
slus/w_80041BE4	2.7.2-cdk	0	1	D_800814E8
slus/w_80041C64	2.8.1	0	1	D_800814E8
slus/w_80043D04	2.8.1 -G16	0	1	D_80081500
slus/w_80043DB8	2.7.2-cdk	0	1	D_80081500
slus/w_80043E04	2.8.1	0	1	D_80081500
slus/w_80043E60	2.8.1	0	1	D_80081500
slus/w_8004437C	2.7.2-cdk	0	2	D_80080AF3,D_80080AFC
slus/w_8004450C	2.7.2	0	1	D_80080AF3
slus/w_80044618	2.7.2	0	1	D_80080AFC
slus/w_80044698	2.7.2	0	1	D_80080B00
slus/w_800448BC	2.7.2	0	1	D_80081508
slus/w_80045340	2.8.1	0	1	D_80081510
slus/w_800453E0	2.7.2-cdk	5	1	D_80081510
slus/w_8004713C	2.7.2	0	2	D_80080B08,D_80080B0A
slus/w_80047338	2.7.2-cdk	0	4	D_80081518,D_8008151A,D_8008151C,D_8008151E
slus/w_80047468	2.7.2-cdk	0	4	D_80081520,D_80081522,D_80081524,D_80081526
slus/w_80047D44	2.7.2	0	1	D_8008152C
slus/w_80047DF0	2.7.2	0	1	D_8008152C
slus/w_80047E30	2.7.2	0	1	D_8008152C
slus/w_80047E78	2.7.2	0	1	D_80081528
slus/w_80048660	2.7.2-cdk	0	4	D_80080B10,D_80080B12,D_80080B14,D_80081530
slus/w_80049F68	2.7.2-cdk -fno-strength-reduce	6	1	D_80080B30
slus/w_8004B08C	2.7.2-cdk	0	1	D_80081540
slus/w_8004D614	2.8.1	0	4	D_80080B58,D_80080B5C,D_80080B60,D_80080B64
slus/w_8004DCA8	2.8.1	1	1	D_80081554
slus/w_8004DCEC	2.7.2-cdk -fno-schedule-insns -fno-delayed-branch	0	1	D_80081550
slus/w_8004DD2C	2.7.2-cdk	0	2	D_80081554,D_80081558
slus/w_8004DDE4	2.7.2-cdk -fno-schedule-insns	0	2	D_80081554,D_80081558
slus/w_8004DE88	2.7.2-cdk	3	1	D_80081550
slus/w_8004DF8C	2.7.2-cdk	1	2	D_8008154C,D_80081550
slus/w_8004E130	2.7.2-cdk	0	2	D_80081554,D_80081558
slus/w_800508F0	2.7.2	0	2	D_80080B80,D_80080B84
slus/w_80050DA8	2.7.2-cdk	0	1	D_80080B98
slus/w_80050E20	2.7.2-cdk	0	1	D_80080B98
slus/w_80053CFC	2.7.2	1	2	D_80081568,D_8008156C
