# Proposed function renames from the script symbol dump (docs/SYMBOLS.md §5). Same columns as config/names.tsv;
# apply at L4 with the gate (tools/build/ccproc.py alias mechanism). Not applied yet.
0x80041284	func_80041284	town_sd_sq_callagain_sub	script function number 194: dispatch table 0x800D3D0C entry 94 = this function; developer symbol FNO_town_sd_sq_callagain_sub (TOWN.BIN symbol dump)
0x800C438C	func_800C438C	tw_sd_sq_ld_call_sub	script function number 195: dispatch table 0x800D3D0C entry 95 = this function; developer symbol FNO_tw_sd_sq_ld_call_sub (TOWN.BIN symbol dump)
0x800C43C0	func_800C43C0	town_map_mod_read_p	script function number 196: dispatch table 0x800D3D0C entry 96 = this function; developer symbol FNO_town_map_mod_read_p (TOWN.BIN symbol dump)
0x8008DB5C	func_8008DB5C	tw_seq_end_chk	script function number 197: dispatch table 0x800D3D0C entry 97 = this function; developer symbol FNO_tw_seq_end_chk (TOWN.BIN symbol dump)
0x8008DB64	func_8008DB64	sb01_over_push	script function number 198: dispatch table 0x800D3D0C entry 98 = this function; developer symbol FNO_sb01_over_push (TOWN.BIN symbol dump)
0x8008DB6C	func_8008DB6C	sb01_over_pull	script function number 199: dispatch table 0x800D3D0C entry 99 = this function; developer symbol FNO_sb01_over_pull (TOWN.BIN symbol dump)
0x8008DB74	func_8008DB74	ms_mot_accpt_ow	script function number 200: dispatch table 0x800D3D0C entry 100 = this function; developer symbol FNO_ms_mot_accpt_ow (TOWN.BIN symbol dump)
0x8008DB7C	func_8008DB7C	all_item_egg_kaeru	script function number 201: dispatch table 0x800D3D0C entry 101 = this function; developer symbol FNO_all_item_egg_kaeru (TOWN.BIN symbol dump)
0x80092C48	func_80092C48	mes_skip_disable_set	script function number 202: dispatch table 0x800D3D0C entry 102 = this function; developer symbol FNO_mes_skip_disable_set (TOWN.BIN symbol dump)
0x800A1F84	func_800A1F84	akichi_vivian_chk	script function number 203: dispatch table 0x800D3D0C entry 103 = this function; developer symbol FNO_akichi_vivian_chk (TOWN.BIN symbol dump)
0x800CA9C0	func_800CA9C0	event_fountain_chk	script function number 204: dispatch table 0x800D3D0C entry 104 = this function; developer symbol FNO_event_fountain_chk (TOWN.BIN symbol dump)
0x8008DCA8	func_8008DCA8	to_camera_zero_00	script function number 205: dispatch table 0x800D3D0C entry 105 = this function; developer symbol FNO_to_camera_zero_00 (TOWN.BIN symbol dump)
0x800C4C7C	func_800C4C7C	present_flower_set	script function number 206: dispatch table 0x800D3D0C entry 106 = this function; developer symbol FNO_present_flower_set (TOWN.BIN symbol dump)
0x800C4CB0	func_800C4CB0	town_sd_se_load_init	script function number 207: dispatch table 0x800D3D0C entry 107 = this function; developer symbol FNO_town_sd_se_load_init (TOWN.BIN symbol dump)
0x8008DDF0	func_8008DDF0	door_open_demo_set_sub	script function number 208: dispatch table 0x800D3D0C entry 108 = this function; developer symbol FNO_door_open_demo_set_sub (TOWN.BIN symbol dump)
0x800C4074	func_800C4074	tcame_return_plus	script function number 209: dispatch table 0x800D3D0C entry 109 = this function; developer symbol FNO_tcame_return_plus (TOWN.BIN symbol dump)
0x800C4D68	func_800C4D68	serch_item_plown	script function number 211: dispatch table 0x800D3D0C entry 111 = this function; developer symbol FNO_serch_item_plown (TOWN.BIN symbol dump)
